Harga Produk,Jumlah Terjual,Jumlah Ulasan,Kategori,Nama Produk,Nama Toko,Rating,Rating Produk,Rating Toko,Tanggal Komentar,Teks Ulasan,Username
Rp268.000,30+,-,Home > Fashion Pria > Outerwear Pria > Jaket Pria,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,Erigo Store,5,5,-,1 minggu lalu,"memang kalau dari segi bahan lumayan oke di harga nya, saran untuk bahan zipper atau resleting nya lebih ditingkatkan. over all bagus",Arcelio
Rp268.000,30+,-,Home > Fashion Pria > Outerwear Pria > Jaket Pria,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,Erigo Store,5,5,-,2 minggu lalu,"pengiriman cepat, seller ramah, barang ORI, cakep juga. makasih erigo official",S***i
Rp268.000,30+,-,Home > Fashion Pria > Outerwear Pria > Jaket Pria,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,Erigo Store,5,5,-,5 hari lalu,Keren jacketnya aku pesan ukuran L agak gede tp jacket bagusan oversize sih dari pada ngepas,N***l
Rp268.000,30+,-,Home > Fashion Pria > Outerwear Pria > Jaket Pria,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,Erigo Store,5,5,-,2 minggu lalu,"ukuranya kebesaran sih beda kayak baju kaos², diasarankan buat yang mau beli pilih satu ukuran dibawah ukuran asli, misal makenya L turunkan jadi M.",febri
Rp268.000,30+,-,Home > Fashion Pria > Outerwear Pria > Jaket Pria,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,Erigo Store,5,5,-,1 minggu lalu,"Maaf baru komen, soalnya baru datang dari luar kota, jaket bagus banget, nyaman dipakai, sesuai dengan gambar. 
Terima kasih seller, sukses selalu...",V***e
Rp268.000,30+,-,Home > Fashion Pria > Outerwear Pria > Jaket Pria,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,Erigo Store,5,5,-,2 minggu lalu,Cakeppp sesuai digambar,Y***z
Rp268.000,30+,-,Home > Fashion Pria > Outerwear Pria > Jaket Pria,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,Erigo Store,5,5,-,1 minggu lalu,"Bagus, sesuai deskripsi",E***n
Rp268.000,30+,-,Home > Fashion Pria > Outerwear Pria > Jaket Pria,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,Erigo Store,5,5,-,2 minggu lalu,Bagus,D***n
Rp268.000,30+,-,Home > Fashion Pria > Outerwear Pria > Jaket Pria,Erigo Parka Jacket Vachel Pale - Jaket Parka Unisex - L,Erigo Store,5,5,-,2 minggu lalu,Keren,U***a
Rp119.999,14,2,Home > Fashion Pria > Atasan Pria > Kemeja Pria,Erigo Basic Long Sleeve Shirt Bhevin Grey - Kemeja Lengan Panjang Oxford Unisex - M,Erigo Store,5,4.8,-,-,bgus pol,M***c
Rp119.999,14,2,Home > Fashion Pria > Atasan Pria > Kemeja Pria,Erigo Basic Long Sleeve Shirt Bhevin Grey - Kemeja Lengan Panjang Oxford Unisex - M,Erigo Store,5,4.8,-,-,Mantap,T***S
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,Agak kegedean dikit tapi yaudah besok2 tolong lah ya menolong,Rizki
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,Barang sesuai pesanan dan sampai tepat waktu,Gullit
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,selalu cocok dengan fittingan erigo,Lesmana
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,Kualitas produk: Bagus,V***
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,"terbaik,,",Z***y
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,Murah kualitas kece,p***u
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,Good quality,A***i
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,Pengiriman gerecep,H***o
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,Puas banget. Super rekomen!,B***n
Rp230.000,100+,21,Home > Fashion Pria > Jeans & Denim Pria > Celana Jeans Pria,Erigo Denim Pants Eden Medium Black - Celana Panjang Denim Unisex - 28,Erigo Store,5,5,-,-,Strait,U***o
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,3 minggu lalu,"bahan bagus,tebal,pengiriman cepat,mantapp",X***b
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,1 minggu lalu,Top,U***q
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,2 minggu lalu,"Sejauh ini Erigo tidak pernah mengecewakan, thanks Erigo",V***b
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,1 minggu lalu,Product quality: bagus,V***q
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,2 minggu lalu,Bagus sudah 3x beli disini,P***b
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,1 minggu lalu,bagus,N***y
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,2 minggu lalu,Mantul selalu berlangganan,Q***h
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,1 bulan lalu,Mantap,a***9
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,4 minggu lalu,Ok,A***y
Rp154.000,50+,-,Home > Fashion Pria > Celana Pria > Celana Pendek Pria,Erigo Chino Pants Flexi Fit Vincenzo Navy - Celana Panjang Chino Unisex - 30,Erigo Store,5,4.9,-,3 minggu lalu,Bgus,W***l
Rp84.000,50+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,Erigo Store,5,4.9,-,2 bulan lalu,Kualitas produk: bagus,T***S
Rp84.000,50+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,Erigo Store,5,4.9,-,1 bulan lalu,good,e***y
Rp84.000,50+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,Erigo Store,5,4.9,-,3 minggu lalu,Bagus,U***t
Rp84.000,50+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,Erigo Store,5,4.9,-,1 bulan lalu,Bagus,y***o
Rp84.000,50+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,Erigo Store,5,4.9,-,1 bulan lalu,Bagus,A***i
Rp84.000,50+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,Erigo Store,5,4.9,-,2 minggu lalu,Oke,Q***f
Rp84.000,50+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,Erigo Store,5,4.9,-,1 bulan lalu,Oke,p***0
Rp84.000,50+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,Erigo Store,5,4.9,-,1 bulan lalu,Mantap,T***S
Rp84.000,50+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Azera Khaki - Kaos Unisex - M,Erigo Store,5,4.9,-,1 bulan lalu,ok,R***M
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,2 hari lalu,Barang sampai dengan selamat & kualitasnya tidak diragukan,D***w
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,1 bulan lalu,"Bahan adem, ukuran pas dan cepat sampe",A***4
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,2 minggu lalu,"Bahannya bagus, sampai tepat waktu.",V***v
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,4 hari lalu,Cocok dengan harganya,W***d
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,1 bulan lalu,Gak perlu diragukan lagi,u***3
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,3 minggu lalu,Bagus sesuai,A***u
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,1 minggu lalu,bagus,Y***u
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,1 minggu lalu,bagus,G***z
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,1 bulan lalu,K,C***u
Rp221.000,70+,-,Home > Fashion Pria > Outerwear Pria > Hoodie  Pria,Erigo Hoodie Embro Nuno Emerald - Jaket Hoodie Unisex - S,Erigo Store,5,4.9,-,3 minggu lalu,Mantaap erigooo,E***f
Rp84.000,80+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,Erigo Store,5,4.7,-,3 bulan lalu,"terima kasih, langganan beli kaos di sini, cepat kering kalo di cuci",G***I
Rp84.000,80+,-,Home > Fashion Pria > Atasan Pria > Kaos Pria,Erigo T-Shirt Auxi Navy - Kaos Unisex - M,Erigo Store,5,4.7,-,2 bulan lalu,Bahannya bagus dan ukurannya sesuai,a***1
